artists,track_name,popularity,duration_ms,explicit,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,ts_0,ts_1,ts_3,ts_4,ts_5,track_genre_encoded
Bombay Jayashri,Zara Zara,1.0717081834784454,1.298717765599308,0,0.5273043062711797,-1.1164061869680044,-0.803862306635192,0,0.1351038240088235,0.4685314658734109,-0.4844520611727267,0.23867587005168422,0.6806914318303601,0.9168711293731746,classical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Bombay Jayashri;DJ Aftab,Zara Zara - Lofi,0.9221322195830279,0.18975960979810572,0,0.3580846367846068,0.17059194016748594,0.5827060569028752,0,-0.851867569338174,0.43647657768739695,-0.4319274222326094,0.7802671974192964,-0.023326241561760292,0.8037962884151274,classical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Bombay Jayashri,Vaseegara,1.4456480932169893,1.311097513878559,0,0.7787163866512303,-1.0294468540534445,-0.988177240784488,0,-0.6262277277670677,0.47654518791991435,-0.4362031956401316,-0.516269616581957,0.7468146387235427,0.9165963794896376,classical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Bombay Jayashri;Swattrex,Zara Zara - LoFi Chill,1.1091021744522997,2.209167361137513,0,0.23721344429419758,-0.9772712543047083,-1.2979181052262518,0,-0.5710352485338475,0.43647657768739695,-0.45208463972521457,-0.0033990414232333284,-0.7934671218470633,0.13575721047642306,classical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Bombay Jayashri,Zara Zara,1.221284147373863,1.298717765599308,0,0.5273043062711797,-1.1164061869680044,-0.803862306635192,0,0.1351038240088235,0.4685314658734109,-0.4844520611727267,0.23867587005168422,0.6806914318303601,0.9168711293731746,classical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Bombay Jayashri,Ondra Renda,1.1091021744522997,1.4163253742521904,0,0.5224694585715633,-0.0937644318927768,0.07855500050778753,0,-0.3405254823245158,0.4444902997339004,-0.4844583526678835,-0.6311526254175112,0.879061052509908,1.1002514127519525,classical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Ludovico Einaudi;Robert Ziegler;Royal Philharmonic Orchestra,Primavera,-1.0971432930051082,2.209167361137513,0,-1.469487793670379,-1.3320653325961138,-0.5776367567540224,0,-0.7609623094246348,1.4622329996398407,2.12987167364576,-0.36035696173370496,-1.2096543652335652,0.7734211624018288,classical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Wolfgang Amadeus Mozart;Květa Novotná,"Piano Sonata No. 11 in A Major, K. 331: III. Alla turca",-1.0223553110573993,-0.4072396830729903,0,-0.18341830557242597,-1.401632798927762,-1.5356155389756345,1,-0.6473307345327107,1.534356498058372,2.3986345735471626,-0.6065348378098924,0.5445554176385135,-1.0515286195830786,classical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Wolfgang Amadeus Mozart;Una Bourne,"Piano Sonata in No. 11 A Major, K. 331: III. Rondo alla turca",-1.0597493020312538,-0.7718795414800127,0,-0.8651318312183334,-1.3007599727468722,-1.348241435794815,1,-0.5710352485338475,1.5210002946475327,2.43833818375987,0.3002203390707311,0.7973794439948,-1.0126973027097967,classical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Wolfgang Amadeus Mozart;Amalie Malling;Hans Pålsson,"Sonata in D Major for Two Pianos, K. 448: II. Andante",-1.0971432930051082,2.209167361137513,0,-0.7829394203248552,-1.9536506442693897,-2.2362226066138784,1,-0.6619405084473867,1.5370277387405398,2.337552096296844,-0.7255208112467162,-1.120193555907495,0.06389485204898127,classical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Wolfgang Amadeus Mozart;Albrecht Mayer;Vital Julian Frey;Deutsche Kammerphilharmonie Bremen,"Ave verum corpus, K. 618 (Arr. Spindler for English Horn, Strings and Organ)",-1.0597493020312538,-0.39373450313198943,0,-1.735404417149279,-1.8475602581136266,-1.6443689980462985,1,-0.6408375016817436,1.323328484167114,2.2489825042838816,-0.6861323510745262,-1.577221603551551,-1.3973776674269567,classical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Wolfgang Amadeus Mozart;Florian Reider,National Anthem - Austria,-1.0971432930051082,-2.2712323558725993,0,0.4837906769746324,-1.617291944555871,-1.5561119714868425,1,0.5084647129394313,1.5263427760118684,2.3986345735471626,-0.5614022271959247,1.260241892247078,-0.9749649853706641,classical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Johann Sebastian Bach;David Bell;Berliner Philharmoniker;Herbert von Karajan,"Suite No. 3 in D Major, BWV 1068: II. Air",-1.0223553110573993,2.209167361137513,0,-2.2097029764816445,-1.7543398532292178,-2.2362226066138784,1,-0.595384871724974,1.3473696503066244,2.352822715609424,-0.5942259440060831,-1.5029302358068575,1.9095119308288668,classical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Wolfgang Amadeus Mozart;Una Bourne,"Divertimento in D Major, K. 334: III. Menuetto - Trio (Arr. S. Palmgren for Piano Solo)",-1.0971432930051082,0.06243108516685728,0,-1.2374151040887933,-1.6207703178724535,-2.1245055775439257,1,-0.6408375016817436,1.5370277387405398,1.7725391817313954,0.3986914895012059,0.25672498763289536,-1.074241276622168,classical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Johann Sebastian Bach;RIMA,Bach : The Well-Tempered Clavier Book I. Fugue No.2,-1.0597493020312538,-1.584159843348125,0,-0.7829394203248552,-1.904953417837236,-2.2362226066138784,0,-0.7755720833393107,1.5423702201048752,2.0962763111580847,-0.5285785103857663,1.1360871127696284e-05,1.7222851490805655,classical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Wolfgang Amadeus Mozart;Renée Fleming;Anne Sofie von Otter;Michele Pertusi;David Syrus;Chamber Orchestra of Europe;Sir Georg Solti,"Così fan tutte, K. 588: Soave sia il vento - Live",-1.0971432930051082,-0.4608524338596092,0,-1.735404417149279,-1.6312054378222007,-1.9391199342335963,1,-0.5921382552994905,1.5236715353297006,-0.34519030453715666,-0.33163620952481654,-1.4519764704950522,-1.5066975933099933,classical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Johann Sebastian Bach;Lang Lang,"Christmas Oratorio, BWV 248: X. Sinfonia (Arr. Anna Saradjian)",-1.0971432930051082,-0.6829704402017572,0,-0.16891376247357687,-1.8433862101337277,-1.7057053371283464,1,-0.4395472833017638,1.5423702201048752,2.233711884971302,-0.6931073908966848,-1.0657391502307563,-0.9557324935230481,classical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Wolfgang Amadeus Mozart;Vladimir Horowitz;Orchestra Del Teatro Alla Scala, Milano;Carlo Maria Giulini","Piano Concerto No. 23 in A, K.488: III. Allegro assai",-1.0971432930051082,2.209167361137513,0,-0.8941409174160316,-1.5651163448071348,-1.554735345422657,1,-0.7625856176373765,1.534356498058372,2.2581448758714298,-0.5942259440060831,-0.400617480893449,0.6461814385591873,classical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Johann Sebastian Bach;Charles Gounod;Kian Soltani;Aaron Pilsan,Ave Maria,-1.0971432930051082,-0.3237748574584508,0,-1.7257347217500463,-1.8395599994854868,-1.854533910511969,1,-0.6684337412983538,1.5210002946475327,2.2459283804213657,-0.7759872758423347,-1.5196555175504272,-0.976033457139976,classical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Wolfgang Amadeus Mozart;Barry Tuckwell;English Chamber Orchestra,"Horn Concerto No. 4 in E flat, K.495: 3. Rondo (Allegro vivace)",-1.0971432930051082,0.1867912837902399,0,-0.6330591416367477,-1.3668490657619377,-1.6720544777815867,1,-0.5304525432153031,1.5370277387405398,2.2153871417962065,-0.5942259440060831,0.4006402026357046,-0.43572254728131304,classical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Johann Sebastian Bach;phil Blech Wien;Anton Mittermayr,"Weihnachtsoratorium, BWV 248: Nr. 10 Sinfonia (Hirtenmusik)",-1.0971432930051082,1.8274877639768061,0,-1.4549832505715299,-1.6555540510382776,-0.8798826570685532,1,-0.6473307345327107,1.5396989794227076,2.181791779308531,-0.6393585546200508,-1.4515875104545037,-1.2821048274006095,classical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
